scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,155,2.098,13.953,3
3,55,2.801,5.507,4
4,250,4.908,21.405,8
5,253,8.124,22.494,17
6,217,8.111,18.572,31
7,892,5.79,85.892,63
8,1101,6.102,96.629,134
9,2201,7.449,187.009,265
10,3101,7.625,265.579,525
11,5050,8.902,490.908,1069
12,9010,14.193,755.19,2142
13,12301,18.619,1059.28,4307
14,17101,32.147,1690.85,8634
15,27801,63.396,2697.65,17366
16,45501,117.181,4163.8,34707
17,63901,251.587,6589.27,69473
18,105001,496.462,10592.8,138730
19,323201,1011.64,34367.4,445123
20,4482001,3291.88,458890,8255404
